FILEDS PRESENT IN TABLES,TABLE NAME,DESCRIPTION
arms_eqpt_body_number,arms_eqpt,TELLS US ABOUT ARMS EQUIPMENT BODY NUMBER
arms_eqpt_category,arms_eqpt,TELLS US ABOUT ARMS EQUIPMENT CATEGORY
arms_eqpt_count,arms_eqpt,TELLS US ABOUT ARMS EQUIPMENT COUNT
arms_eqpt_details,arms_eqpt,TELLS US ABOUT ARMS EQUIPMENT DETAILS
arms_eqpt_id,arms_eqpt,TELLS US ABOUT ARMS EQUIPMENT QUANTITY
arms_eqpt_quantity,arms_eqpt,TELLS US ABOUT ARMS EQUIPMENT STATUS
arms_eqpt_status,arms_eqpt,TELLS US ABOUT ARMS EQUIPMENT SUB-CATEGORY
arms_eqpt_sub_category,arms_eqpt,TELLS US ABOUT ARMS EQUIPMENT BODY NUMBER
arms_eqpt_type,arms_eqpt,TELLS US ABOUT ARMS EQUIPMENT TYPE
arms_issued_irla,arms_eqpt,TELLS US ABOUT ARMS IRLA
created_at,arms_eqpt,
created_by,arms_eqpt,
created_by_unit,arms_eqpt,
updated_at,arms_eqpt,
updated_by,arms_eqpt,
,,
actiontaken,assign_pursuit_team,
created_at,assign_pursuit_team,
created_by,assign_pursuit_team,
created_by_unit,assign_pursuit_team,
id,assign_pursuit_team,
p_id,assign_pursuit_team,
remarks,assign_pursuit_team,
unitcode,assign_pursuit_team,
updated_at,assign_pursuit_team,
updated_by,assign_pursuit_team,
user_id,assign_pursuit_team,
,,
created_at,company,
created_by,company,
description,company,
name,company,
sno,company,
updated_at,company,
updated_by,company,
,,
id,country,
name,country,
status,country,
,,
company,crpf_location,
event_id,crpf_location,
id,crpf_location,
lat,crpf_location,
location,crpf_location,
log,crpf_location,
,,
approval_flag_batallion,daily_incident_report,
approval_flag_bop,daily_incident_report,
approval_flag_border_pillar,daily_incident_report,
approval_flag_company,daily_incident_report,
approval_flag_frontier,daily_incident_report,
approval_flag_hq,daily_incident_report,
approval_flag_sector,daily_incident_report,
created_by,daily_incident_report,
credibility_of_Information,daily_incident_report,
daily_incident_repo_id,daily_incident_report,
date,daily_incident_report,
Description,daily_incident_report,
details_of_incident,daily_incident_report,
file_path,daily_incident_report,
gpsco_ordinates,daily_incident_report,
ifurgent,daily_incident_report,
image_path,daily_incident_report,
merged,daily_incident_report,
merger_id,daily_incident_report,
place_of_incident,daily_incident_report,
reliability,daily_incident_report,
remarks_battalion,daily_incident_report,
remarks_bop,daily_incident_report,
remarks_border_pillar,daily_incident_report,
remarks_company,daily_incident_report,
remarks_frontier,daily_incident_report,
remarks_of_officer_hq,daily_incident_report,
remarks_sector,daily_incident_report,
report_id,daily_incident_report,
source,daily_incident_report,
subject,daily_incident_report,
video_path,daily_incident_report,
chartname,dashboard,
chartorder,dashboard,
charttype,dashboard,
created_at,dashboard,
created_by,dashboard,
groupby,dashboard,
isactive,dashboard,
query,dashboard,
sno,dashboard,
updated_at,dashboard,
updated_by,dashboard,
username,dashboard,
created_at,dep_deployed,
created_by,dep_deployed,
date_from,dep_deployed,
date_time_from,dep_deployed,
date_time_to,dep_deployed,
date_to,dep_deployed,
dep_id,dep_deployed,
district,dep_deployed,
latitude,dep_deployed,
longitude,dep_deployed,
nature_of_duty,dep_deployed,
ops_jurisdiction,dep_deployed,
order_date,dep_deployed,
order_no,dep_deployed,
place_location,dep_deployed,
police_station,dep_deployed,
remark,dep_deployed,
res_district,dep_deployed,
res_state,dep_deployed,
row_order,dep_deployed,
sno,dep_deployed,
state,dep_deployed,
static_guard,dep_deployed,
sub_dep_id,dep_deployed,
updated_at,dep_deployed,
updated_by,dep_deployed,
vip_security,dep_deployed,
available_go,dep_details,
available_or,dep_details,
available_so,dep_details,
available_strength,dep_details,
coy,dep_details,
coy_commander,dep_details,
coy_commander_mob,dep_details,
created_at,dep_details,
created_by,dep_details,
dep_id,dep_details,
dep_status,dep_details,
dep_sub_status,dep_details,
district,dep_details,
halfsection,dep_details,
is_halfsection,dep_details,
latitude,dep_details,
longitude,dep_details,
nature_of_duty,dep_details,
place_location,dep_details,
platoon,dep_details,
police_station,dep_details,
row_order,dep_details,
section,dep_details,
sno,dep_details,
state,dep_details,
updated_at,dep_details,
updated_by,dep_details,
created_at,dep_nature_of_deployment,
created_by,dep_nature_of_deployment,
date_time_from,dep_nature_of_deployment,
date_time_to,dep_nature_of_deployment,
dep_id,dep_nature_of_deployment,
during_poll_duty,dep_nature_of_deployment,
duty_type,dep_nature_of_deployment,
post_poll_duty,dep_nature_of_deployment,
prepoll_duty,dep_nature_of_deployment,
sno,dep_nature_of_deployment,
sub_dep_id,dep_nature_of_deployment,
created_at,dep_training,
created_by,dep_training,
date_of_commencement_of_tr,dep_training,
date_of_completion_of_tr,dep_training,
date_of_disruption_of_tr,dep_training,
date_of_resumption_of_tr,dep_training,
dep_id,dep_training,
district,dep_training,
latitude,dep_training,
loc_of_training,dep_training,
longitude,dep_training,
no_of_days_of_disruption,dep_training,
no_of_days_of_tr_completed,dep_training,
place_location,dep_training,
reason,dep_training,
remark,dep_training,
row_order,dep_training,
sno,dep_training,
state,dep_training,
updated_at,dep_training,
updated_by,dep_training,
actual_halt_food_was_provided,dep_um_food_details,
dep_id,dep_um_food_details,
food_category,dep_um_food_details,
no_of_food_packets_demanded,dep_um_food_details,
proposed_food_halt_irctc,dep_um_food_details,
rec_officer_email,dep_um_food_details,
rec_officer_force_no,dep_um_food_details,
rec_officer_name,dep_um_food_details,
rec_officer_phone,dep_um_food_details,
rec_officer_rank,dep_um_food_details,
