FIELDS IN TABLE,TABLE NAME,CAN BE USED IN USECASES 
company,crpf_location,"USECASE 1 , 2"
event_id,crpf_location,"USECASE 1 , 2"
id,crpf_location,"USECASE 1 , 2"
lat,crpf_location,"USECASE 1 , 2"
location,crpf_location,"USECASE 1 , 2"
log,crpf_location,"USECASE 1 , 2"
,,
approval_flag_batallion,daily_incident_report,
approval_flag_bop,daily_incident_report,
approval_flag_border_pillar,daily_incident_report,
approval_flag_company,daily_incident_report,
approval_flag_frontier,daily_incident_report,
approval_flag_hq,daily_incident_report,
approval_flag_sector,daily_incident_report,
created_by,daily_incident_report,
credibility_of_Information,daily_incident_report,
daily_incident_repo_id,daily_incident_report,
date,daily_incident_report,
Description,daily_incident_report,
details_of_incident,daily_incident_report,
file_path,daily_incident_report,
gpsco_ordinates,daily_incident_report,
ifurgent,daily_incident_report,
image_path,daily_incident_report,
merged,daily_incident_report,
merger_id,daily_incident_report,
place_of_incident,daily_incident_report,
reliability,daily_incident_report,
remarks_battalion,daily_incident_report,
remarks_bop,daily_incident_report,
remarks_border_pillar,daily_incident_report,
remarks_company,daily_incident_report,
remarks_frontier,daily_incident_report,
remarks_of_officer_hq,daily_incident_report,
remarks_sector,daily_incident_report,
report_id,daily_incident_report,
source,daily_incident_report,
subject,daily_incident_report,
video_path,daily_incident_report,
,,
created_at,eventfir,
createdby,eventfir,
event_id,eventfir,
fir_id,eventfir,
remarks,eventfir,
sno,eventfir,
updated_at,eventfir,
updatedby,eventfir,
,,
aiming_point_used,eventied,USECASE 5 ONLY
container_of_ied,eventied,USECASE 5 ONLY
created_at,eventied,USECASE 5 ONLY
created_by,eventied,USECASE 5 ONLY
depth_of_burial,eventied,USECASE 5 ONLY
desc_of_crator,eventied,USECASE 5 ONLY
desc_of_spikes,eventied,USECASE 5 ONLY
device_used_rx,eventied,USECASE 5 ONLY
device_used_tx,eventied,USECASE 5 ONLY
dimensions_of_creator,eventied,USECASE 5 ONLY
distance_from_camp,eventied,USECASE 5 ONLY
distance_from_camp_spike,eventied,USECASE 5 ONLY
distanct_from_ied,eventied,USECASE 5 ONLY
event_id,eventied,USECASE 5 ONLY
ied_date_time,eventied,USECASE 5 ONLY
ied_details,eventied,USECASE 5 ONLY
ied_district,eventied,USECASE 5 ONLY
ied_id,eventied,USECASE 5 ONLY
ied_latitude,eventied,USECASE 5 ONLY
ied_location,eventied,USECASE 5 ONLY
ied_longitude,eventied,USECASE 5 ONLY
ied_mode_of_detection,eventied,USECASE 5 ONLY
ied_police_station,eventied,USECASE 5 ONLY
ied_position,eventied,USECASE 5 ONLY
ied_recovered_from,eventied,USECASE 5 ONLY
ied_residual_item,eventied,USECASE 5 ONLY
ied_state,eventied,USECASE 5 ONLY
ied_status,eventied,USECASE 5 ONLY
length_ied_wire,eventied,USECASE 5 ONLY
length_of_wire,eventied,USECASE 5 ONLY
mechanism_of_ied,eventied,USECASE 5 ONLY
mode_disposal_of_ied,eventied,USECASE 5 ONLY
no_of_ied,eventied,USECASE 5 ONLY
no_of_spikes,eventied,USECASE 5 ONLY
pattern_of_placcement,eventied,USECASE 5 ONLY
quantity_of_ied,eventied,USECASE 5 ONLY
sharpnels_used,eventied,USECASE 5 ONLY
sno,eventied,USECASE 5 ONLY
type_of_aligment,eventied,USECASE 5 ONLY
type_of_detonator,eventied,USECASE 5 ONLY
type_of_explosive,eventied,USECASE 5 ONLY
type_of_terrain,eventied,USECASE 5 ONLY
updated_at,eventied,USECASE 5 ONLY
updated_by,eventied,USECASE 5 ONLY
,,
any_action_taken,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
any_ir,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
any_ops_launched,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
breed_of_k9,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
created_at,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
created_by,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
created_by_unit,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
date_time_of_rgs,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
description,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
district,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
duration_of_operation_days,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
duration_of_operation_night,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
enemy_commander,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
enemy_strength_range,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
event_datetime,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
event_id,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
event_irla_number,events,THIS TABLE IS NEEDED AND WILL BE USED IN EVERY USECASE
